Title,Author,Main Genre,Borrowed,BorrowedBy
Four Great Comedies,William Shakespeare,"Arts,0,
"Hayvadan [Hardcover] Girish Karnad, Tr. B.V. Karant",Tr. B.V. Karant Girish Karnad,0,
This Life at Play: Memoirs,Girish Karnad,"Arts,0,
Stella Adler: The Art of Acting,Howard Kissel,"Arts,0,
A History of Heavy Metal: 'Absolutely hilarious' – Neil Gaiman,Andrew O'Neill,"Arts,0,
அசுரனின் காதல் (Tamil Edition),Ebin Rider,"Arts,0,
BEFORE & LAUGHTER,Jimmy Carr,"Arts,0,
Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,"Arts,0,
BUILDING A CHARACTER,Constantin Stanislavski,"Arts,0,
"Storyworthy: Engage, Teach, Persuade,0,
Batman Begins: The Screenplay: Including Storyboards and Exclusive Interviews,Christopher Nolan,"Arts,0,
An Actor Prepares,Constantin Stanislavski,"Arts,0,
Gulmohar,Kale V.P.,"Arts,0,
Film Lighting: Talks with Hollywood's Cinematographers and Gaffers [Paperback] Kris Malkiewicz,Kris Malkiewicz,"Arts,0,
Thirteen Plays of Bhasa: (2 Vols. Bound in One),A.C. Woolner Lakshman Sarup,"Arts,0,
James Acaster's Guide to Quitting Social Media,James Acaster,"Arts,0,
The Quite Nice and Fairly Accurate Good Omens Script Book,Neil Gaiman,"Arts,0,
"Funny Jokes for 15 Year Old Teens: The Ultimate Q&A, One-Liner, Dad,0,
Drama Games for Those Who Like to Say No,Chris Johnston,"Arts,0,
"BOLLYWOOD, BOX OFFICE AND BEYOND: The Evolving Business of Indian Cinema",Lata Jha,0,
अभिनेता जीवन-एक संघर्ष: Evaluate yourself before you enter in the industry! (Hindi Edition),Pankaj Gupta,"Arts,0,
The Voice Exercise Book: A Guide to Healthy and Effective Voice Use,Jeannette Nelson,"Arts,0,
The Oxford Guide to Plays (Oxford Quick Reference),Michael Patterson,"Arts,0,
William Shakespeare: The Complete Works (Illustrated),William Shakespeare,"Arts,0,
Sanford Meisner on Acting,Dennis Longwell,"Arts,0,
Discover India: Festivals of India,Sonia Mehta,"Arts,0,
Days of Reading (Penguin Great Ideas),Marcel Proust,"Arts,0,
Will,Will Smith,"Arts,0,
101 Foolproof Jokes to Use in Case of Emergency,Adam Kisiel,"Arts,0,
Kishore Kumar: The Ultimate Biography,Anirudha Bhattacharjee,"Arts,0,
"Basketball (and Other Things): A Collection of Questions Asked, Answered, Illustrated",0,
"Everyone You Hate is Going to Die: And Other Comforting Thoughts on Family, Friends, Sex,0,
Marainthirunthu Paarkum Marmam Enna..!!!: மறைந்திருந்து பார்க்கும் மர்மம் என்ன..!!! (Tamil Edition),Thiyashi Vijay,"Arts,0,
A Bird on My Windowsill,Manav Kaul,"Arts,0,
The Guide for Every Screenwriter: From Synopsis to Subplots: The Secrets of Screenwriting Revealed,Geoffrey D Calhoun,"Arts,0,
Physics Galaxy 2024: JEE Advanced - Physics - Chapter wise PYQ Analysis by Ashish Arora,Ashish Arora,"Arts,0,
Physics Galaxy 2024: Physics - 23 Years' NEET - Chapter-wise & Topic-Wise Solutions (2001-2023) by Ashish Arora,Ashish Arora,"Arts,0,
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,0,
THE ARTIST'S WAY,Julia Cameron,"Arts,0,
Physics Galaxy 2023 : Vol.3A Electrostatics & Current Electricity 3rd Edition,Ashish Arora,"Arts,0,
PHYSICS GALAXY 2023 : VOL.1 - MECHANICS 3RD EDITION,Ashish Arora,"Arts,0,
Letters of Vincent Van Gogh (Penguin Classics),Vincent Van Gogh,"Arts,0,
"PHYSICS GALAXY : VOL.3B - MAGNETISM, EMI & ALTERNATING CURRENT 3RD EDITION: Vol.3B - Magnetism, EMI & Alternating Current 3rd edition by Ashish Arora",0,
"Design as Art (Penguin Modern Classics) Munari, Bruno",Bruno Munari,0,
"Physics Galaxy : Vol.2  Thermodynamics, Oscillations  & Waves 3rd edition",Ashish Arora,0,
History Optional - Modern India & World History - Previous Years UPSC Solved Papers 1979-2022 2ed by Rashid Yasin,Rashid Yasin,"Arts,0,
Physics Galaxy : Vol. IV Optics & Modern Physics (3rd edition) by Ashish Arora,Ashish Arora,"Arts,0,
UPPSC 2023 Previous Years' Topic-Wise Solved Papers  - Paper I 2003-22 & Solved Paper II 2012-22 4ed by Sheelwant Singh & Sarika: Previous Years' ... & Solved Paper II 2012-22 4ed by Access,Sheelwant Singh,"Arts,0,
Geronimo Stilton and the Kingdom of Fantasy #7: The Enchanted Charms,Geronimo Stilton,"Arts,0,
History Optional 2023 - Ancient & Medieval India - Previous Years UPSC Solved Papers (1979 - 2022) 2ed by Rashid Yasin,Rashid Yasin,"Arts,0,
"The Complete Color Harmony, Pantone Edition: Expert Color Information for Professional Results",Leatrice Eiseman,0,
Pretentiousness: Why It Matters,Dan Fox,"Arts,0,
IELTS Academic+ General Test: Listening Book by Career Launcher,Career Launcher,"Arts,0,
RRB 2022-23 - Junior Engineer CBT -I & II - Civil Engineering - Guide by GKP,GKP,"Arts,0,
Watercolour Demonstrations,Milind Mulick,"Arts,0,
Pretentiousness: Why it Matters,Dan Fox,"Arts,0,
IELTS Academic + General Test: Reading Book by Career Launcher,Career Launcher,"Arts,0,
"Map Entries for History Optional 3ed by Rashid Yasin, Ranjan Singh",Rashid Yasin,0,
GATE 2024 Architecture & Planning Vol 1 - Guide by Ar. Jinisha Jain,Jinisha Jain,"Arts,0,
Pretentiousness: Why it Matters,Dan Fox,"Arts,0,
இரவின் நிமிடங்கள் (Tamil Edition),ஜில் ஜில்  சிங்காரி ,"Arts,0,
Paryavaran Evam Paristhithiki 6e by Dr. Majid Husain Hindi,Dr Majid Husain,"Arts,0,
The Battle Of Rezang La: The true story of how 120 Indian soldiers faced 5000 Chinese troops | Essential Indian Army Books on War | Penguin Non-fiction,Kulpreet Yadav,"Arts,0,
IELTS Academic+ General Test: Grammar Book by Career Launcher,Career Launcher,"Arts,0,
Klimt: The Kiss Jigsaw: 1000 Piece Jigsaw,Flame Tree Studio,"Arts,0,
"One Sting Attached (Hindi)/Ishq Baki/इश्क़ बाक़ी: Bichhad Ke Bhi Na Bichhde, Aise Saath Ke Naam/बिछड़ के भी न बिछड़े, ऐसे साथ के नाम",0,
IELTS Academic+ General Test: Writing Book by Career Launcher,Career Launcher,"Arts,0,
Seneca's Letters from a Stoic,Lucius Annaeus Seneca,"Arts,0,
Ways of Seeing: Based on the BBC Television Series,John Berger,"Arts,0,
Your Brain on Art: How the Arts Transform Us,Susan Magsamen,"Arts,0,
Physics Galaxy 2023 : JEE Advanced - Physics - Chapter wise PYQ Analysis by Ashish Arora,Ashish Arora,"Arts,0,
Ways of Seeing,John Berger,"Arts,0,
"Vincent van Gogh: 1853-1890, Vision and Reality",Ingo F. Walther,0,
WABI SABI: JAPANESE WISDOM FOR A PERFECTLY IMPERFECT LIFE,Beth Kempton,"Arts,0,
"Ethics, Integrity & Aptitude (For Civil Services Examination) 8ed by access",G. Subba Rao  & P N  Roychowdhury,0,
Lunch with the FT,Lionel Barber,"Arts,0,
Mind in Motion: How Action Shapes Thought,Barbara Tversky,"Arts,0,
Naga Identities: Changing Local Cultures in the Northeast of India,Michael Oppitz,"Arts,0,
"Art 101: From Vincent van Gogh to Andy Warhol, Key People, Ideas,0,
LPMC : Create Dangerously (Penguin Modern),Albert Camus,"Arts,0,
My Paintings Thoughts Behind Them,Vasudeo Kamath,"Arts,0,
Staff Nurse - PSC Question Bank by Sreedevi Santhosh Sreenandhanam,Career Launcher,"Arts,0,
CULTURE - A New World History,Martin Puchner,"Arts,0,
How to Draw Comics for Beginners: The Ultimate Comic Drawing Guide for Kids and Adults,Cory Carrera,"Arts,0,
PHOTOGRAPHY: A VERY SHORT INTRODUCITON: A Very Short Introduction (Very Short Introductions),Steve Edwards,"Arts,0,
"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson [Paperback] Albom,0,
Chautha Ank'Autobiography Ravindra Mahajani चौथा अंक माधवी रवींद्र महाजनी,Madhavi Ravindra Mahajani,"Biographies,0,
Nenu (Atmakatha in Telugu),Brahmanandam,"Biographies,0,
An Uncommon Love: The Early Life of Sudha and Narayana Murthy,Chitra Banerjee Divakaruni,"Biographies,0,
Chautha Ank [Ravindra Mahajani] - Marathi,Madhavi Ravindra Mahajani,"Biographies,0,
Make You Bed,William H. McRaven,"Biographies,0,
Wise and Otherwise: A salute to Life [Paperback] Sudha Murty,Murty Sudha,"Biographies,0,
AUTOBIOGRAPHY OF A YOGI,Paramahansa Yogananda,"Biographies,0,
The Diary of A Young Girl,Anne Frank,"Biographies,0,
"Kitne Ghazi Aye Kitne Ghazi Gaye: A Memoir: A True Life Account of Bravery And Sacrifice of An Army Soldier Who Served India For More Than 40 Years [Hardcover] Dhillon, Lt Gen KJS 'Tiny'",K.J.S. Dhillon,0,
The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Biographies,0,
"Same as Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",Morgan Housel,0,
Autobiography of A Yogi (Hindi),Paramahansa Yogananda,"Biographies,0,
Zero to Billions - The Zerodha Story: An inspiring story on how a startup disrupted the Indian Stock Market (Indian Unicorns),ABHISHEK B,"Biographies,0,
Doglapan : The Hard Truth about Life and Start-Ups,ASHNEER GROVER,"Biographies,0,
TWELFTH FAIL,Anurag Pathak,"Biographies,0,
World's Greatest Leaders: Biographies of Inspirational Personalities For Kids,Wonder House Books,"Biographies,0,
Why I Killed Gandhi?,Nathuram Godse,"Biographies,0,
Shoe Dog,Phil Knight,"Biographies,0,
"My Inventions, Autobiography of Nikola Tesla",Nikola Tesla,0,
Autobiography of a Yogi,Paramahansa Yogananda,"Biographies,0,
"MANY LIVES, MANY MASTERS [Paperback] Weiss, Brian",0,
Borsi Bhar Aanch,Yatish Kumar,"Biographies,0,
"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha",0,
Chanakya Neeti,Acharya Chanakya,"Biographies,0,
"Why I am an Atheist and Other Works | Letters & Jail Diary of Bhagat Singh on Revolution, Religion & Politics",Bhagat Singh,0,
Autobiography Of A Yogi (Complete Edition),Paramahansa Yogananda,"Biographies,0,
Autobiography of a Yogi in Hindi | Yogi Kathamrit | Ek Yogi Ki Atmakatha | Paramahansa Yogananda Hindi | Yogi Book,Paramahansa Yogananda,"Biographies,0,
Autobiography of A Yogi,Paramahansa Yogananda,"Biographies,0,
Jaun Elia: Ek Ajab Ghazab Shayar - Hindi,Jaun Elia,"Biographies,0,
"Memory: How to Develop, Train and Use It | Original Edition | Premium Paperback",William Walker Atkinson,0,
The Story of My Experiments With Truth,Mahatma Gandhi,"Biographies,0,
"The Story of My Experiments With Truth: Mahatma Gandhi, An Autobiography (Hindi)",Mahatma Gandhi,0,
How Prime Ministers Decide,Neerja Chowdhury,"Biographies,0,
One Up on Wall Street: How To Use What You Already Know To Make Money in the Market,Peter Lynch,"Biographies,0,
Jag Badalnara Baap Manus (Dr. Babasaheb Ambedkar),Jagdish Ohol,"Biographies,0,
Autobiography of a Yogi (Tamil),Paramahansa Yogananda,"Biographies,0,
"Leaders Eat Last (With a New Chapter): Why Some Teams Pull Together and Others Don't [Paperback] Sinek, Simon",Simon Sinek,0,
Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Biographies,0,
You Are Born to Blossom,DR APJ ABDUL KALAM,"Biographies,0,
Adolf Hitler (Hindi),MAHESH DUTT SHARMA,"Biographies,0,
"Here, There and Everywhere",Murty Sudha,0,
AUTOBIOGRAPHY OF A YOGI (HB),YOGANANDA,"Biographies,0,
Introducing Buddha: A Graphic Guide (Graphic Guides),Borin Van Loon,"Biographies,0,
The Unusual Billionaires,Saurabh Mukherjea,"Biographies,0,
Everything I Know About Love : Now a Major BBC One Series,Dolly Alderton,"Biographies,0,
"Common, yet Uncommon",Sudha Murty,0,
Apprenticed To A Himalayan Master: A Yog: A Yogi's Autobiography,Sri M,"Biographies,0,
Bravehearts of Bharat : Vignettes from Indian History,Vikram Sampath,"Biographies,0,
Balidan : Stories of India's Greatest Para Special Forces Operatives,Swapnil Pandey,"Biographies,0,
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,"Biographies,0,
Wise and Otherwise: A salute to Life [Paperback] Sudha Murty,Murty Sudha,"Biographies,0,
The Diary of A Young Girl,Anne Frank,"Biographies,0,
"Kitne Ghazi Aye Kitne Ghazi Gaye: A Memoir: A True Life Account of Bravery And Sacrifice of An Army Soldier Who Served India For More Than 40 Years [Hardcover] Dhillon, Lt Gen KJS 'Tiny'",K.J.S. Dhillon,0,
The Thoughtful Investor,Basant Maheshwari,"Biographies,0,
TWELFTH FAIL,Anurag Pathak,"Biographies,0,
Why I Killed Gandhi?,Nathuram Godse,"Biographies,0,
"My Inventions, Autobiography of Nikola Tesla",Nikola Tesla,0,
"Three Thousand Stitches: Ordinary People, Extraordinary Lives [Paperback] Murty, Sudha",0,
Autobiography of A Yogi,Paramahansa Yogananda,"Biographies,0,
How Prime Ministers Decide,Neerja Chowdhury,"Biographies,0,
Lokdeo Nehru : Dinkar Granthmala,Ramdhari Singh Dinkar,"Biographies,0,
Bravehearts of Bharat : Vignettes from Indian History,Vikram Sampath,"Biographies,0,
Balidan : Stories of India's Greatest Para Special Forces Operatives,Swapnil Pandey,"Biographies,0,
India’s Most Fearless : True Stories Of Modern Military Heroes | War Stories,Aroor Shiv & Singh Rahul,"Biographies,0,
"Mother I Never Knew, The",Murty Sudha,0,
India Unboxed: 75 Quirky Aspects That Define the Nation,Safir Anand,"Biographies,0,
Maine Gandhi Ko Kyon Mara? (Hindi Translation of Why I Killed Gandhi?),Nathuram Godse,"Biographies,0,
The Happiest Man on Earth,Eddie Jaku,"Biographies,0,
"""कितने गाजी आए कितने गाजी गए"" Kitne Ghazi Aaye, Kitne Ghazi Gaye (Hindi Version) Book In Hindi",Lt Gen. K.J.S. ‘Tiny’ Dhillon,0,
The Night Whispers: An absolutely unputdownable addictive thriller with a shocking twist! (A Slayton Thriller Book 2),Caroline Mitchell,"Biographies,0,
Daivathinte Charanmar - You Could Be One,JOSEPH ANNAMKUTTY JOSE,"Biographies,0,
Mossad,Michael Bar-Zohar,"Biographies,0,
Mindset - Hindi,Carol S. Dweck,"Biographies,0,
India's Most Fearless 3,Rahul Singh,"Biographies,0,
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,"Biographies,0,
India's Most Fearless 2 : More Military Stories of Unimaginable Courage and Sacrifice | Stories of War,Shiv Aroor; Rahul Singh,"Biographies,0,
THE REAL YOGI,GANA,"Biographies,0,
Best Love Letters of All Time Pocket Classic,Various,"Biographies,0,
"Snakes, Drugs and Rock 'n' Roll: My Early Years",Romulus Whitaker,0,
The Day I Stopped Drinking Milk : Life Lessons From Here And There,Sudha Murty,"Biographies,0,
Good Night Stories for Rebel Girls: 100: 100 Tales Of Extraordinary Women,Elena Favilli,"Biographies,0,
The Midnight Man: A gripping new crime series (A Slayton Thriller Book 1),Caroline Mitchell,"Biographies,0,
AT THE PLEASURE OF HIS MAJESTY: I.M. Lall and the Case That Shook the Crown,Chander M. Lall,"Biographies,0,
"Savarkar: Echoes from a Forgotten Past,",Vikram Sampath,0,
Something Happened on the Way to Heaven: 20 Inspiring Real-Life Stories [Paperback] Sudha Murty,Murty Sudha (Ed.),"Biographies,0,
The Diary of a Young Girl (Hindi),Anne Frank,"Biographies,0,
Savarkar: Ek Bhule-Bisre Ateet Ki Goonj,Vikram Sampath,"Biographies,0,
அக்னி-ஸ்ரீ : Agni-Sri(Tamil Edition) (அக்னி-ஸ்ரீ(பாகம்-1)),Priya Jagannathan,"Biographies,0,
An Uncommon Love: The Early Life of Sudha and Narayana Murthy,Chitra Banerjee Divakaruni,"Biographies,0,
Conundrum,Chandrachur Ghose & Anuj Dhar,"Biographies,0,
One Small Mistake: An addictive and heart racing new thriller,Dandy Smith,"Biographies,0,
அக்னி-ஸ்ரீ(பாகம்-2): Agni-Sree(Tamil Edition) (அக்னி-ஸ்ரீ(பாகம்-1)),ப்ரியா  ஜெகன்நாதன்,"Biographies,0,
The Choice : A true story of hope,Edith Eger,"Biographies,0,
12 years a slave : A true story (Fingerprint),Solomon Northup,"Biographies,0,
Dongri to Dubai: Six Decades of the Mumbai Mafia,S. Hussain Zaidi,"Biographies,0,
Man-eaters of Kumaon,Jim Corbett,"Biographies,0,
"Dying To Be Me : My Journey from Cancer: My Journey from Cancer, to Near Death, to True Healing",0,
ORU POLICE SURGEONTE ORMAKURIPPUKAL [ ഒരു പോലീസ് സർജൻ്റെ ഓർമ്മക്കുറിപ്പുകൾ ] [ 13th Edition : September 2019 ],Dr.B.UMADATHAN,"Biographies,0,
#Tatastories : 40 Timeless Tales to Inspire You,Harish Bhat,"Biographies,0,
The 7 Habits of Highly Effective People: Infographics Edition: Powerful Lessons in Personal Change,Stephen R. Covey,Business & Economics,0,
The Psychology of Money,Morgan Housel,Business & Economics,0,
Breakout Trading Made Easy: Maximize Your Profits with Simple Price Action Strategies,Sunil Gurjar,Business & Economics,0,
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",0,
A Beginner's Guide to the Stock Market,Matthew R. Kratter,Business & Economics,0,
Rich Dad Poor Dad: 25th Anniversary Edit,Robert T. Kiyosaki,Business & Economics,0,
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,Business & Economics,0,
The 5 AM Club,Robin Sharma,Business & Economics,0,
"Thinking, Fast & Slow (L)",Daniel Kahneman,0,
Zero to One (L),Peter Thiel,Business & Economics,0,
The Richest Man In Babylon - Fingerprint!,George S. Clason,Business & Economics,0,
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,Business & Economics,0,
